0.00,1.00E+04,1.00E+05,0,7.434363603072834e-34,da330
0.00,1.00E+04,1.00E+05,60,5.3296398718279586e-34,nbh202
0.00,1.00E+04,5.00E+05,60,2.0899562791655544e-34,nbh202
0.00,1.00E+04,1.00E+06,60,2.3363761726934992e-34,nbh202
0.00,1.00E+04,5.00E+06,60,3.6626908806455937e-34,nbh202
0.00,1.00E+04,1.00E+07,60,2.9065930761301663e-34,nbh202
0.00,5.00E+04,1.00E+05,60,0.16919331477975516,nbh202
0.00,5.00E+04,5.00E+05,60,1.1515506777909967e-33,nbh202
0.00,5.00E+04,1.00E+06,60,7.424550907885698e-34,nbh202
0.00,5.00E+04,5.00E+06,60,9.291527614769327e-34,nbh202
0.00,5.00E+04,1.00E+07,60,1.6041172078774856e-33,nbh202
0.00,1.00E+05,1.00E+05,60,0.18880466381659122,nbh202
0.00,1.00E+05,5.00E+05,60,0.13141115314013468,nbh202
0.00,1.00E+05,1.00E+06,60,0.05512166393276817,nbh202
0.00,1.00E+05,5.00E+06,60,3.8645018651866635e-33,nbh202
0.00,1.00E+05,1.00E+07,60,3.333119046346784e-33,nbh202
0.00,5.00E+05,1.00E+05,60,0.18545217232820532,nbh202
0.00,5.00E+05,5.00E+05,60,0.1844531889434737,nbh202
0.00,5.00E+05,1.00E+06,60,0.20045279192670667,nbh202
0.00,5.00E+05,5.00E+06,60,0.13188991319719803,nbh202
0.00,5.00E+05,1.00E+07,60,0.08570525762220124,nbh202
0.00,1.00E+06,1.00E+05,60,0.1876270610623864,nbh202
0.00,1.00E+06,5.00E+05,60,0.22568848854016882,nbh202
0.00,1.00E+06,1.00E+06,60,0.21315586153824181,nbh202
0.00,1.00E+06,5.00E+06,60,0.19356821725500709,nbh202
0.00,1.00E+06,1.00E+07,60,0.16708119446970546,nbh202
0.00,5.00E+06,1.00E+05,60,0.06805039252844938,nbh202
0.00,5.00E+06,5.00E+05,60,0.1437553614751613,nbh202
0.00,5.00E+06,1.00E+06,60,0.12121186656660224,nbh202
0.00,5.00E+06,5.00E+06,60,0.18863879464108824,nbh202
0.00,5.00E+06,1.00E+07,60,0.1943381450450538,nbh202
0.00,1.00E+07,1.00E+05,60,0.03675214975930868,nbh202
0.00,1.00E+07,5.00E+05,60,0.05629936450792821,nbh202
0.00,1.00E+07,1.00E+06,60,0.08424067317261247,nbh202
0.00,1.00E+07,5.00E+06,60,0.0699360554882347,nbh202
